Year,Mes,Residuo,Peso
2020,Septiembre,Chatarra,14
2020,Octubre,Chatarra,53
2020,Noviembre,Chatarra,76
2020,Diciembre,Chatarra,
2017,Enero,Archivos,
2017,Febrero,Archivos,
2017,Marzo,Archivos,
2017,Abril,Archivos,
2017,Mayo,Archivos,
2017,Junio,Archivos,
2017,Julio,Archivos,
2017,Agosto,Archivos,
2017,Septiembre,Archivos,
2017,Octubre,Archivos,
2017,Noviembre,Archivos,
2017,Diciembre,Archivos,
2018,Enero,Archivos,
2018,Febrero,Archivos,
2018,Marzo,Archivos,
2018,Abril,Archivos,
2018,Mayo,Archivos,
2018,Junio,Archivos,
2018,Julio,Archivos,
2018,Agosto,Archivos,
2018,Septiembre,Archivos,
2018,Octubre,Archivos,
2018,Noviembre,Archivos,
2018,Diciembre,Archivos,
2019,Enero,Archivos,
2019,Febrero,Archivos,
2019,Marzo,Archivos,
2019,Abril,Archivos,
2019,Mayo,Archivos,0
2019,Junio,Archivos,0
2019,Julio,Archivos,0
2019,Agosto,Archivos,0
2019,Septiembre,Archivos,40
2019,Octubre,Archivos,19
2019,Noviembre,Archivos,73
2019,Diciembre,Archivos,0
2020,Enero,Archivos,28
